name_cs;name_et;price_cs;price_et;com_count_cs;com_count_et;rating_et;note_cs;link_et;link_cs
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Personalized Tasbih, Yellow Agate and Onyx Gemstone Beads, Customized Tasbih İslamic Gift, Ramadan Gift, Tasbeeh, Gift, Misbaha, Subha;99.00;184.43;399;"                    (35)
               ";4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/998586560/personalized-tasbih-yellow-agate-and?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-1&plkey=65c22fef71c266cafa78e98a95b76f4595021b80%3A998586560&pro=1&frs=1;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Personalized Agate Stone Ring • Custom Name Ring For Men • Hand Engraved Initial Ring • Sterling Silver Aqeeq Men Ring • Father's Day Gift;99.00;184.43;399;"                    (13)
               ";4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/992575829/personalized-agate-stone-ring-custom?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-2&plkey=06d9e2661e0d371c5b5432c69c75392bf324a53a%3A992575829&pro=1&frs=1;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Name Written Yellow Agate Silver Ring, Ideal Gift, Jewelry Gift, Gift for Her, Bride Gift, Islamic Art, Name Ring, Personalized Ring;99.00;184.43;399;"                    (1,110)
               ";4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/910187371/name-written-yellow-agate-silver-ring?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-3&plkey=a7e4b222bbfec93521cda78b46f76b6101df1c53%3A910187371&pro=1;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Agate Ornament Personalized, Agate Slice, Purple Agate Ornament, Boho Ornament, Ornament, Christmas Gift, Holiday Gift, Date, Name;99.00;184.43;399;"                    (2,119)
               ";4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/638941876/agate-ornament-personalized-agate-slice?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-4&plkey=b53cbf4b97aed1f6c45c5184baf7f2294cce180a%3A638941876;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;2 whisky glasses with whisky cooling stones and coasters in engraved wooden box - with desired name - gift idea for Father's Day or Birthday;99.90;433.73;173;"                    (412)
               ";4.7285;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/987020388/2-whisky-glasses-with-whisky-cooling?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-1&plkey=8e0fdffa4e1b5f29fa0b61c6cafa4e9f376e840a%3A987020388;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Personalized Tasbih, Yellow Agate and Onyx Gemstone Beads, Customized Tasbih İslamic Gift, Ramadan Gift, Tasbeeh, Gift, Misbaha, Subha;99.90;433.73;173;"                    (35)
               ";4.7285;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/998586560/personalized-tasbih-yellow-agate-and?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-2&plkey=9e33930fa429b0246f64f122302ceb5edca43dff%3A998586560&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Onyx Tasbih Custom Name with Matte Black Stone Round Prayer Beads, Personalized Rosary Islamic Gift, Muslim Prayer Beads, Masbaha, Subha;99.90;433.73;173;"                    (35)
               ";4.7285;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/834028079/onyx-tasbih-custom-name-with-matte-black?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-3&plkey=7fbc9b518c9b0ce269bfbe803a73aaa79210d7f6%3A834028079&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Tasbih Custom Name with Tigers Eye Stone Round Prayer Beads, Personalized Rosary Islamic Gift, Muslim Prayer Beads, Masbaha, Subha;99.90;433.73;173;"                    (35)
               ";4.7285;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/832563574/tasbih-custom-name-with-tigers-eye-stone?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-4&plkey=3258e174da99c761ee384e810a51d7e918daa0a1%3A832563574&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287
Kişiye Özel İsimli Tesbih;Girl's Baptism Rosary Personalized Girl Communion Rosary Gift Personalized with Sterling Silver 925 Letters and Swarovski® White Pearls;59.00;441.89;135;"                    (1,132)
               ";4.7773;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/617522794/girls-baptism-rosary-personalized-girl?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Rosary&ref=sc_gallery-1-1&plkey=0715d29dc5d8204a7b76c743990ac4a18ca298b0%3A617522794;https://www.ciceksepeti.com/kisiye-ozel-isimli-tesbih-kc378158
Kişiye Özel İsimli Tesbih;Baby Girl or Boy Personalized Name Rosary, for Baptism, Christening, Communion, Godchild Gift;59.00;441.89;135;"                    (1,585)
               ";4.7773;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/597677509/baby-girl-or-boy-personalized-name?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Rosary&ref=sc_gallery-1-2&plkey=0f8ddf35f0bd2d22ab532e6a65fb172cc156793f%3A597677509;https://www.ciceksepeti.com/kisiye-ozel-isimli-tesbih-kc378158
