name_cs;name_et;price_cs;price_et;brut_kar;all_et_fees_tl;net_kar;com_count_cs;com_count_et;rating_et;note_cs;link_et;link_cs;image_et;image_cs
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Stone rosary Medjugorje,  Personslized stone rosary, Stone rosary with name, Handmade rosary, Rosary necklace, Benedict personalized rosary;99.0;143.41;44.41;24.410737000000005;3.499262999999992;400;72.0;5.0;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/865284981/stone-rosary-medjugorje-personslized?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-1&plkey=8b72ffe1d5b47e156a29d935d2a0b1e3cde8b67f%3A865284981;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145;https://i.etsystatic.com/24101719/c/1096/871/0/145/il/e0fb52/2506364094/il_340x270.2506364094_skdg.jpg;https://cdn03.ciceksepeti.com/cicek/kc713145-1/M/kisiye-ozel-isimli-orjinal-akik-tasi-tesbih-kc713145-1-8d72f9a9fb45306-1fbb7d13.jpg
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Personalized Men Ring , Agate Stone , Initial Ring , Mens Signet , Hand Engraved Name Initials Letters , Sterling Silver Jewelry ,Gift;99.0;1321.08;1222.08;184.220556;1021.3594439999999;400;200.0;4.6154;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/976024710/personalized-men-ring-agate-stone?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-2&plkey=d695bd3e0567951ac2f7e72e76a8870b9e4f2ae1%3A976024710&frs=1&cns=1;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145;https://i.etsystatic.com/18518481/c/657/522/123/236/il/022ecc/3022403521/il_340x270.3022403521_qhkt.jpg;https://cdn03.ciceksepeti.com/cicek/kc713145-1/M/kisiye-ozel-isimli-orjinal-akik-tasi-tesbih-kc713145-1-8d72f9a9fb45306-1fbb7d13.jpg
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Onyx Tasbih Custom Name with Matte Black Stone Round Prayer Beads, Personalized Rosary Islamic Gift, Muslim Prayer Beads, Masbaha, Subha;99.0;132.02;33.02000000000001;22.865114000000002;-6.345113999999992;400;35.0;4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/834028079/onyx-tasbih-custom-name-with-matte-black?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-3&plkey=de463171cff58ba36945d7ca3dbe44183f7527d7%3A834028079&pro=1&frs=1;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145;https://i.etsystatic.com/23948166/c/1595/1268/54/1336/il/64ae4f/2442676299/il_340x270.2442676299_1sv6.jpg;https://cdn03.ciceksepeti.com/cicek/kc713145-1/M/kisiye-ozel-isimli-orjinal-akik-tasi-tesbih-kc713145-1-8d72f9a9fb45306-1fbb7d13.jpg
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Personalized Agate Stone Ring • Custom Name Ring For Men • Hand Engraved Initial Ring • Sterling Silver Aqeeq Men Ring • Father's Day Gift;99.0;483.85;384.85;70.608445;297.741555;400;13.0;5.0;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/992575829/personalized-agate-stone-ring-custom?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-4&plkey=61fc57c57a459033fe417fa67344f56ecd423d5b%3A992575829&pro=1&frs=1;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145;https://i.etsystatic.com/27081408/c/994/790/16/72/il/26c844/3031449901/il_340x270.3031449901_7cts.jpg;https://cdn03.ciceksepeti.com/cicek/kc713145-1/M/kisiye-ozel-isimli-orjinal-akik-tasi-tesbih-kc713145-1-8d72f9a9fb45306-1fbb7d13.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;2 whisky glasses with whisky cooling stones and coasters in engraved wooden box - with desired name - gift idea for Father's Day or Birthday;99.9;421.13;321.23;62.097341;242.63265900000002;174;423.0;4.7541;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/987020388/2-whisky-glasses-with-whisky-cooling?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-1&plkey=f96d26aeaa86caa4ebf734506b0e1259d713ee22%3A987020388;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/18424719/d/il/1ee4ef/3014173604/il_340x270.3014173604_lycp.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Personalized Tasbih, Yellow Agate and Onyx Gemstone Beads, Customized Tasbih İslamic Gift, Ramadan Gift, Tasbeeh, Gift, Misbaha, Subha;99.9;179.82;79.91999999999999;29.351574000000003;34.06842599999999;174;35.0;4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/998586560/personalized-tasbih-yellow-agate-and?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-2&plkey=84df5843286dbfb6a12ddc0f903f1be346fda275%3A998586560&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/23948166/c/2250/1788/0/288/il/5b84eb/3105088657/il_340x270.3105088657_ku2z.jpg;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Masculine Beaded Bracelet: Black Acrylic, Stone, Glass Beads & Gold Personalized Name Letters - Boys, Men, Males, All Ages - Free Shipping;99.9;52.06;-47.84;12.014542;-76.35454200000001;174;3790.0;4.9008;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/710578380/masculine-beaded-bracelet-black-acrylic?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-3&plkey=1d38870ea0457b16394a480976216d95409fbe81%3A710578380;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/9102727/d/il/3036da/2003390995/il_340x270.2003390995_6cud.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Onyx Tasbih Custom Name with Matte Black Stone Round Prayer Beads, Personalized Rosary Islamic Gift, Muslim Prayer Beads, Masbaha, Subha;99.9;132.02;32.120000000000005;22.865114000000002;-7.245113999999997;174;35.0;4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/834028079/onyx-tasbih-custom-name-with-matte-black?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-4&plkey=782bb8def3f035bf4a127b1a07fb05290b15c042%3A834028079&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/23948166/c/1595/1268/54/1336/il/64ae4f/2442676299/il_340x270.2442676299_1sv6.jpg;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel İsimli Tesbih;Baby Girl Baptism Rosary or Communion Personalized Rosary with Sterling 925 Silver Letters & Swarovski Pink Pearls Girl Baptism Gift;59.0;399.42;340.42;59.15129400000001;264.768706;135;1137.0;4.7803;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/200652042/baby-girl-baptism-rosary-or-communion?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Rosary&ref=sc_gallery-1-1&plkey=fe7fe1b8910ca2cb3910c87767e20c866035f8ab%3A200652042;https://www.ciceksepeti.com/kisiye-ozel-isimli-tesbih-kc378158;https://i.etsystatic.com/9298935/c/1821/1446/382/160/il/1c6f59/1829355909/il_340x270.1829355909_1xey.jpg;https://cdn03.ciceksepeti.com/cicek/kc378158-1/M/kisiye-ozel-isimli-tesbih-kc378158-1-4.jpg
Kişiye Özel İsimli Tesbih;Baby Girl or Boy Personalized Name Rosary, for Baptism, Christening, Communion, Godchild Gift;59.0;374.86;315.86;55.81850200000001;243.541498;135;1587.0;4.7657;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/597677509/baby-girl-or-boy-personalized-name?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Rosary&ref=sc_gallery-1-2&plkey=c1baa269ecc0bb3ebad88133caf7d11c15547117%3A597677509;https://www.ciceksepeti.com/kisiye-ozel-isimli-tesbih-kc378158;https://i.etsystatic.com/7044373/c/1536/1219/0/180/il/ce7e00/1489393477/il_340x270.1489393477_fz3r.jpg;https://cdn03.ciceksepeti.com/cicek/kc378158-1/M/kisiye-ozel-isimli-tesbih-kc378158-1-4.jpg
