name;price;com_count;note;full_link;image
Kişiye Özel Spotify Barkodlu Plak;39.99;999.0;Ücretsiz Kargo;https://www.ciceksepeti.com/kisiye-ozel-spotify-barkodlu-plak-kc103182;https://cdn03.ciceksepeti.com/cicek/kc103182-1/M/kisiye-ozel-spotify-barkodlu-plak-kc103182-1-a7c8843635d34e998c3ba8653be8a868.jpg
Stefan Zweig Seti (6 Kitap Takım);8.9;953;;https://www.ciceksepeti.com/stefan-zweig-seti-6-kitap-kc8742197;https://cdn03.ciceksepeti.com/cicek/kc8742197-1/M/stefan-zweig-seti---6-kitap-kc8742197-1-0f7f6df3705749528b86fadcfd38b362.jpg
Kişiye Özel Fotoğraflı Gül Melek Taş Aranjmanı 80803;59.9;887;Aynı Gün Teslimat Seçeneği;https://www.ciceksepeti.com/kisiye-ozel-fotografli-gul-melek-tas-aranjmani-80803-kc201333;https://cdn03.ciceksepeti.com/cicek/kc201333-1/M/kisiye-ozel-gul-melek-aranjmani-80803-kc201333-1-1.jpg
Etkinlik Kitapları 12 Kitap;39.0;850;;https://www.ciceksepeti.com/etkinlik-kitaplari-12-kitap-kc2185017;https://cdn03.ciceksepeti.com/cicek/kc2185017-1/M/etkinlik-kitaplari-12-kitap-kc2185017-1-a44d745f2a0f449b88adc3d3e0696348.jpg
Stefan Zweig Seti - 7 Kitap;20.9;446;;https://www.ciceksepeti.com/stefan-zweig-seti-7-kitap-kc5828986;https://cdn03.ciceksepeti.com/cicek/kc5828986-1/M/stefan-zweig-seti-7-kitap-kc5828986-1-e1b5555344334655a5913cfbc88d6a78.jpg
Renkli ve Hızlı Süper Pratik Akıllı Bardaklar Eğitici Zeka Oyunu Kutu Oyunu;19.9;400;Aynı Gün Teslimat Seçeneği;https://www.ciceksepeti.com/renkli-ve-hizli-super-pratik-akilli-bardaklar-egitici-zeka-oyunu-kutu-oyunu-kc1267169;https://cdn03.ciceksepeti.com/cicek/kc1267169-1/M/renkli-ve-hizli-super-pratik-akilli-bardaklar-egitici-zeka-oyunu-kutu-oyunu-kc1267169-1-e5ba1d0a00b84c3ea72499de2a485be0.jpg
Ritoys Hızlı Dedektif Kutu Oyunu Zenginleştirilmiş İçerik Yeni;19.99;397;;https://www.ciceksepeti.com/ritoys-hizli-dedektif-kutu-oyunu-zenginlestirilmis-icerik-yeni-kc8102305;https://cdn03.ciceksepeti.com/cicek/kc8102305-1/M/ritoys-hizli-dedektif-kutu-oyunu-zenginlestirilmis-icerik-yeni-kc8102305-1-b794de622e254ddebca5f39e22d7ea50.jpg
Ayço Buzz Kır Buz Tuzağı Buz Kırma Zeka ve Strateji Oyunu;24.9;344;;https://www.ciceksepeti.com/gokkusagi-buz-tuzagi-buz-kirma-zeka-ve-strateji-oyunu-kc9563970;https://cdn03.ciceksepeti.com/cicek/kc9563970-1/M/gokkusagi-buz-tuzagi-buz-kirma-zeka-ve-strateji-oyunu-kc9563970-1-0873e3c199904a8dbde5dc7daac33d12.jpg
Kişiye Özel A4 Boyutunda 99 Parça Puzzle;29.99;290;Aynı Gün Teslimat Seçeneği;https://www.ciceksepeti.com/kisiye-ozel-a4-boyutunda-99-parca-puzzle-kc252248;https://cdn03.ciceksepeti.com/cicek/kc252248-1/M/kisiye-ozel-a4-boyutunda-99-parca-puzzle-kc252248-1-046157c78266440186cb9558802c1f2d.jpg
Kişiye Özel Fotoğraflı Kalp Puzzle;29.99;245;Aynı Gün Teslimat Seçeneği;https://www.ciceksepeti.com/14-subat-sevgili-hediyesi-kisiye-ozel-fotografli-kalp-puzzle-kc410519;https://cdn03.ciceksepeti.com/cicek/kc410519-1/M/14-subat-sevgili-hediyesi-kisiye-ozel-fotografli-kalp-puzzle-kc410519-1-1.jpg
Kişiye Özel Fotoğraflı Nazarlı Baykuşlar Taş Aranjmanı 80799;59.9;215;Aynı Gün Teslimat Seçeneği;https://www.ciceksepeti.com/kisiye-ozel-fotografli-nazarli-baykuslar-tas-aranjmani-80799-kc887475;https://cdn03.ciceksepeti.com/cicek/kc887475-1/M/kisiye-ozel-nazarli-baykuslar-aranjmani-80799-kc887475-1-1.jpg
