name_cs;name_et;price_cs;price_et;brut_kar;all_et_fees_tl;net_kar;com_count_cs;com_count_et;rating_et;note_cs;link_et;link_cs;image_et;image_cs
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Personalized Men Ring , Agate Stone , Initial Ring , Mens Signet , Hand Engraved Name Initials Letters , Sterling Silver Jewelry ,Gift;99.0;1095.94;996.94;153.669058;826.7709420000001;400;200.0;4.6154;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/976016044/personalized-men-ring-agate-stone?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-1&plkey=0fca3a18d0cfb04eb5e74cc717dac04a2c142e76%3A976016044&frs=1;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145;https://i.etsystatic.com/18518481/c/617/490/147/261/il/c86c4b/2974654514/il_340x270.2974654514_l53s.jpg;https://cdn03.ciceksepeti.com/cicek/kc713145-1/M/kisiye-ozel-isimli-orjinal-akik-tasi-tesbih-kc713145-1-8d72f9a9fb45306-1fbb7d13.jpg
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Onyx Tasbih Custom Name with Matte Black Stone Round Prayer Beads, Personalized Rosary Islamic Gift, Muslim Prayer Beads, Masbaha, Subha;99.0;132.12;33.120000000000005;22.878684000000003;-6.258683999999999;400;35.0;4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/834028079/onyx-tasbih-custom-name-with-matte-black?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-2&plkey=de875bb74d208558656fcfe5ad046783ac4524d7%3A834028079&pro=1&frs=1;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145;https://i.etsystatic.com/23948166/c/1595/1268/54/1336/il/64ae4f/2442676299/il_340x270.2442676299_1sv6.jpg;https://cdn03.ciceksepeti.com/cicek/kc713145-1/M/kisiye-ozel-isimli-orjinal-akik-tasi-tesbih-kc713145-1-8d72f9a9fb45306-1fbb7d13.jpg
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Name Written Yellow Agate Silver Ring, Ideal Gift, Jewelry Gift, Gift for Her, Bride Gift, Islamic Art, Name Ring, Personalized Ring;99.0;1022.44;923.44;143.695108;763.244892;400;1113.0;4.8165;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/910187371/name-written-yellow-agate-silver-ring?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-3&plkey=9a73ea043dc4f34cc9cbf2612d1d2d4e66ec327e%3A910187371&pro=1;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145;https://i.etsystatic.com/9507418/d/il/68e793/2734730525/il_340x270.2734730525_1oy6.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc713145-1/M/kisiye-ozel-isimli-orjinal-akik-tasi-tesbih-kc713145-1-8d72f9a9fb45306-1fbb7d13.jpg
Kişiye Özel İsimli Orjinal Akik Taşı Tesbih;Agate Ornament Personalized, Agate Slice, Purple Agate, Boho Ornament, Ornament, Christmas Gift, Holiday Gift, Date, Name, Inspirational;99.0;65.23;-33.769999999999996;13.801711;-64.071711;400;2119.0;4.8958;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/730002036/agate-ornament-personalized-agate-slice?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Original+Agate+Stone+Rosary+with+Personalized+Name&ref=sc_gallery-1-4&plkey=b5576bc4698562bf508935321010b5fc3f60ce3a%3A730002036;https://www.ciceksepeti.com/isimli-tesbih-kisiye-ozel-orjinal-akik-tasi-kc713145;https://i.etsystatic.com/5456334/c/1485/1180/190/114/il/022a1d/2088720427/il_340x270.2088720427_jp6u.jpg;https://cdn03.ciceksepeti.com/cicek/kc713145-1/M/kisiye-ozel-isimli-orjinal-akik-tasi-tesbih-kc713145-1-8d72f9a9fb45306-1fbb7d13.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;2 whisky glasses with whisky cooling stones and coasters in engraved wooden box - with desired name - gift idea for Father's Day or Birthday;99.9;421.2;321.29999999999995;62.106840000000005;242.69315999999995;174;423.0;4.7541;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/987020388/2-whisky-glasses-with-whisky-cooling?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-1&plkey=d5edc6e6b7fa18ed25c0b748accf2807089768bb%3A987020388;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/18424719/d/il/1ee4ef/3014173604/il_340x270.3014173604_lycp.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Personalized Tasbih, Yellow Agate and Onyx Gemstone Beads, Customized Tasbih İslamic Gift, Ramadan Gift, Tasbeeh, Gift, Misbaha, Subha;99.9;179.96;80.06;29.370572000000003;34.189428;174;35.0;4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/998586560/personalized-tasbih-yellow-agate-and?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-2&plkey=fbfd70ecf213108110b0ce1cf71a74fe27c1c10c%3A998586560&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/23948166/c/2250/1788/0/288/il/5b84eb/3105088657/il_340x270.3105088657_ku2z.jpg;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Masculine Beaded Bracelet: Black Acrylic, Stone, Glass Beads & Gold Personalized Name Letters - Boys, Men, Males, All Ages - Free Shipping;99.9;52.1;-47.800000000000004;12.01997;-76.31997000000001;174;3790.0;4.9008;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/710578380/masculine-beaded-bracelet-black-acrylic?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-3&plkey=b456a04a17e8ea8e47e8c652f0adcafde514b9ca%3A710578380;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/9102727/d/il/3036da/2003390995/il_340x270.2003390995_6cud.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel Akik Taşı İsimli Tesbih Ahşap Kutulu;Onyx Tasbih Custom Name with Matte Black Stone Round Prayer Beads, Personalized Rosary Islamic Gift, Muslim Prayer Beads, Masbaha, Subha;99.9;132.12;32.22;22.878684000000003;-7.1586840000000045;174;35.0;4.8571;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/834028079/onyx-tasbih-custom-name-with-matte-black?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Agate+Stone+Name+Rosary+with+Wooden+Box&ref=sc_gallery-1-4&plkey=dc69f8efbf8d981853e1c3a53e675e27e7b13a54%3A834028079&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-akik-tasi-isimli-tesbih-damarli-model-kc435287;https://i.etsystatic.com/23948166/c/1595/1268/54/1336/il/64ae4f/2442676299/il_340x270.2442676299_1sv6.jpg;https://cdn03.ciceksepeti.com/cicek/kc435287-1/M/kisiye-ozel-akik-tasi-isimli-tesbih-ahsap-kutulu-kc435287-1-8d72f9a9e190b79-a4497bf9.jpg
Kişiye Özel İsimli Tesbih;Baby Girl Baptism Rosary or Communion Personalized Rosary with Sterling 925 Silver Letters & Swarovski Pink Pearls Girl Baptism Gift;59.0;399.28;340.28;59.132296;264.647704;135;1137.0;4.7803;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/200652042/baby-girl-baptism-rosary-or-communion?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Rosary&ref=sc_gallery-1-1&plkey=e4ff3458317618a5e9dd931b26045efbcbf666ed%3A200652042;https://www.ciceksepeti.com/kisiye-ozel-isimli-tesbih-kc378158;https://i.etsystatic.com/9298935/c/1821/1446/382/160/il/1c6f59/1829355909/il_340x270.1829355909_1xey.jpg;https://cdn03.ciceksepeti.com/cicek/kc378158-1/M/kisiye-ozel-isimli-tesbih-kc378158-1-4.jpg
Kişiye Özel İsimli Tesbih;Baby Girl or Boy Personalized Name Rosary, for Baptism, Christening, Communion, Godchild Gift;59.0;375.14;316.14;55.856498;243.783502;135;1587.0;4.7657;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/597677509/baby-girl-or-boy-personalized-name?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Rosary&ref=sc_gallery-1-2&plkey=efdc8f8ac2a9858e2f2e075a585f85b7f5b0c979%3A597677509;https://www.ciceksepeti.com/kisiye-ozel-isimli-tesbih-kc378158;https://i.etsystatic.com/7044373/c/1536/1219/0/180/il/ce7e00/1489393477/il_340x270.1489393477_fz3r.jpg;https://cdn03.ciceksepeti.com/cicek/kc378158-1/M/kisiye-ozel-isimli-tesbih-kc378158-1-4.jpg
