name_cs;name_et;price_cs;price_et;brut_kar;all_et_fees_tl;net_kar;com_count_cs;com_count_et;rating_et;note_cs;link_et;link_cs;image_et;image_cs
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Full Name Monogram Matte Black Zippo Cigar Lighter - Black Metal Lighter with Personalized Engraving;16.9;226.2;209.29999999999998;35.645340000000004;157.15465999999998;999.0;1582.0;4.82;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/679757007/full-name-monogram-matte-black-zippo?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-1&plkey=b24c5b63e7fe22df36ecc83c6f94074837f0fd0a%3A679757007;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/12334423/d/il/3793f9/1766145532/il_340x270.1766145532_gton.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Personalized Metal Clock - Family Name Clock - Housewarming gift- Wedding gift - Wall decor - Personalized Gift - Personalized Metal Sign;16.9;338.93;322.03000000000003;50.942801;254.58719900000003;999.0;4187.0;4.83;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/684208406/personalized-metal-clock-family-name?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-2&plkey=ae490610f2ff082ba8790408fcae17b0f70d2698%3A684208406&pro=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/9702901/d/il/d65c50/1842949262/il_340x270.1842949262_aapm.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Custom Lighter Fathers Day Gift Photo Engraved Personalized Writing Logo Valentines Gift Black Metalic Blue Silver Gold Purple Windproof;16.9;246.1;229.2;38.34577;174.35422999999997;999.0;22.0;4.95;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1021091144/custom-lighter-fathers-day-gift-photo?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-3&plkey=c01801b87515fe2fcb90bc8580af33a1dce7d970%3A1021091144&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/28015942/d/il/510748/3142208458/il_340x270.3142208458_t3vc.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Personalized Leather Card Holder, Minimalist Wallet Corfu;26.9;334.92;308.02000000000004;50.398644000000004;241.12135600000005;999.0;60.0;5.0;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1036459813/personalized-leather-card-holder?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-1&plkey=d4e50a592c453e49e5a095182eaa0869befa70d2%3A1036459813&pro=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/17899730/c/3000/2384/0/482/il/4bda56/3195264711/il_340x270.3195264711_6a7x.jpg;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Personalized Wallet, Billfold Brown Leather Wallet, Personalised Rustic Vintage Look Wallet, Fathers Day Gift, Anniversary Gift for Him;26.9;311.79;284.89000000000004;47.259903;221.13009700000003;999.0;64.0;4.95;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1012703632/personalized-wallet-billfold-brown?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-2&plkey=326fd489734f053a2610cf8082341eddad86246f%3A1012703632&bes=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/29233561/d/il/9012be/3192022313/il_340x270.3192022313_dddo.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Black Leather Wallet for Men, Engraved Leather Wallet, Personalized Leather Wallet, Anniversary Gift for Him, Groomsman Gift, Husband Gift;26.9;271.43;244.53;41.783051;186.246949;999.0;278.0;4.86;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/897541643/black-leather-wallet-for-men-engraved?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-3&plkey=acd3a3927c2e5936c927cd19e337aaa28fbf27cf%3A897541643&pro=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/19805402/d/il/df6c08/2632554630/il_340x270.2632554630_g2qo.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel İsimli Papatya Kolye;Infinity Name Necklace, Name Necklace With Heart, Personalized Necklace, Mom Necklace With Kids Name, Friendship Necklace, Personalized Gift;19.99;188.67;168.67999999999998;30.552519000000004;121.62748099999997;999.0;93.0;4.25;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1000135655/infinity-name-necklace-name-necklace?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sc_gallery-1-1&plkey=79122327743da8a1ba4e03db2cf908a7bd50169a%3A1000135655&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/25594295/d/il/f1bc49/3011064490/il_340x270.3011064490_fb6h.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
Kişiye Özel İsimli Papatya Kolye;Personalized Daisy Name Necklace, Customized Silver Name Jewelry, Mother Gifts, Gift for Her, Best Friend Gift, Bridesmaid Gift, Minimalist;19.99;201.86;181.87;32.342402;133.027598;999.0;209.0;4.35;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/824286528/personalized-daisy-name-necklace?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sc_gallery-1-2&plkey=31ad2bb659017a0cba5f501b1ecfbc7adaefd8ff%3A824286528&pro=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/21861142/d/il/9f071c/2409935152/il_340x270.2409935152_ce18.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
Kişiye Özel İsimli Papatya Kolye;Personalized Daisy Name Necklace,Flower lover necklace,Customized 925K Silver Name Necklace, Gift for Mum, Gift for Her;19.99;135.72;115.73;23.367204;75.862796;999.0;168.0;4.8;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1033174331/personalized-daisy-name-necklaceflower?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sc_gallery-1-3&plkey=71d0708473ad1b3a942f4767270f79cf9c05f556%3A1033174331&pro=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/25056533/c/512/406/323/448/il/e21c28/3182722095/il_340x270.3182722095_1g3z.jpg;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
Kişiye Özel Spotify Barkodlu Plak;Custom Acrylic Song Plaque Couples Gift , a very special song for your special occasions;39.99;307.63;267.64;46.695391;204.44460899999999;999.0;53.0;4.83;Ücretsiz Kargo;https://www.etsy.com/listing/1005034166/custom-acrylic-song-plaque-couples-gift?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Spotify+Barcode+Plaque&ref=sc_gallery-1-1&plkey=af8615a1e66ebe96fb475091f2891c93a82207b9%3A1005034166&frs=1&bes=1;https://www.ciceksepeti.com/kisiye-ozel-spotify-barkodlu-plak-kc103182;https://i.etsystatic.com/26675805/d/il/50221d/3082494238/il_340x270.3082494238_ff48.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc103182-1/M/kisiye-ozel-spotify-barkodlu-plak-kc103182-1-a7c8843635d34e998c3ba8653be8a868.jpg
