name_cs;name_et;price_cs;price_et;brut_kar;all_et_fees_tl;net_kar;com_count_cs;com_count_et;rating_et;note_cs;link_et;link_cs;image_et;image_cs
Kişiye Özel Mekanizmalı Deri Cüzdan;Personalised Mens Wallet, Genuine Soft Black Leather Wallet, Personalized Gift for Boyfriend, Fathers Day Gift, Anniversary Gift for Him;29.9;148.98;119.07999999999998;25.166585999999995;77.41341399999999;999.0;160.0;4.92;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1006687553/personalised-mens-wallet-genuine-soft?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-1&plkey=cd634a2de7b529e26c7a1f67e64bc4a45ab21976%3A1006687553&bes=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/29233561/d/il/fdc8ac/3056894398/il_340x270.3056894398_6z7e.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Personalized Leather Magnetic Money Clip The Sanibel by Left Coast Original;29.9;300.56;270.66;45.735991999999996;208.42400800000001;999.0;15169.0;4.79;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/706764484/personalized-leather-magnetic-money-clip?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-2&plkey=e2bdc6b2afa55b7c2933f2a7f3d70a2bc92a6f1c%3A706764484&pro=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/11914445/d/il/0058ed/1986809291/il_340x270.1986809291_q1qc.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Metal Family Name Sign, Personalized Anchor Sign, Front Porch Last Name Sign, Anchor Name Sign, Anchor Sign Metal, Anchor Wall Decor;19.99;341.96;321.96999999999997;51.35397199999999;254.11602799999997;999.0;29383.0;4.8;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/775853445/metal-family-name-sign-personalized?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-1&plkey=e15f471f5515f472b0a79dca5ee633310d323af7%3A775853445&pro=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/21299137/d/il/89e773/2176948992/il_340x270.2176948992_nurp.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Üç İsimli Kişiye Özel Kalpler Gümüş Kolye;Personalized Name Necklace,925 Silver Sterling Necklace, Custom Gold Name Necklace, Mothers Necklace, Personalized Jewelry, Grandma Gift;54.9;136.44;81.53999999999999;23.464907999999998;41.575092;999.0;;;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1047118209/personalized-name-necklace925-silver?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Three+Names+Personalized+Hearts+Sterling+Silver+Necklace&ref=sc_gallery-1-1&plkey=4e7c6d6940874d3b230ea4b1c3132e7260c3fea1%3A1047118209&pro=1;https://www.ciceksepeti.com/uc-isimli-kisiye-ozel-kalpler-gumus-kolye-kc520528;https://i.etsystatic.com/27193567/d/il/e2ecd9/3235851835/il_340x270.3235851835_jhxq.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc520528-1/M/uc-simli-kisiye-ozel-kalpler-gumus-kolye-kc520528-1-3de7d34258ce47e9985e4d959bb9cf27.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Anniversary Gift for Him,Personalized Wallet,Mens Wallet,Engraved Wallet,Custom Wallet,Leather Wallet,Boyfriend Gift For Men,Gift for Dad;29.9;250.3;220.4;38.915710000000004;164.98429;999.0;7380.0;4.92;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/719921371/anniversary-gift-for-himpersonalized?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-3&plkey=f1a9ba4b4a520cb4c5be05bd1a4f9e88fd03e6d5%3A719921371&pro=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/17860793/c/2803/2228/0/287/il/53b59c/2676570720/il_340x270.2676570720_f11e.jpg;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;3-layer leather special handmade personalized wallet carries with it for a lifetime, gets better with age;29.9;343.57;313.67;51.57244899999999;245.597551;999.0;;;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1035370144/3-layer-leather-special-handmade?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-4&plkey=a36b7814b6cfa835de50644b4648017e5aadabec%3A1035370144&frs=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/30303777/d/il/ee06a7/3244222701/il_340x270.3244222701_8575.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel İsimli Papatya Kolye;Linked Circle Necklace, Family Necklace, Custom Name Necklace with Kids Name, Engraved Necklace, Personalized Gifts, Birthday Gift For Her;19.99;229.55;209.56;36.099935;156.960065;999.0;254.0;4.41;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1018454923/linked-circle-necklace-family-necklace?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sc_gallery-1-1&plkey=c722b96158913b704eb16072d139a8c0cb237cd3%3A1018454923&pro=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/26021212/d/il/d2922f/3079002242/il_340x270.3079002242_285c.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Engraved Travel Tumbler 16oz, Father's Day Gift, Personalized Travel Mug, Spill Proof Travel Mug, Custom Insulated Travel Mug, Coffee Mug;19.99;286.68;266.69;43.852476;206.337524;999.0;1730.0;4.95;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/985949771/engraved-travel-tumbler-16oz-fathers-day?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-2&plkey=cb827ad349fbf7473d7638224ec919f5428e1f87%3A985949771&bes=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/19252512/d/il/1bf474/2960206896/il_340x270.2960206896_nk1l.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Personalized Family Name Sign | Metal Wall Art | Metal Last Name Sign | Established Family Name Sign | Housewarming Gift | Monogram Sign;19.99;366.64;346.65;54.703047999999995;275.446952;999.0;216.0;4.71;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/901477511/personalized-family-name-sign-metal-wall?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-3&plkey=cec5bc0d7278f1f13c0cd245b6d93e3d37c66930%3A901477511&frs=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/22560550/c/1340/1065/939/441/il/215a1a/2696871915/il_340x270.2696871915_1imc.jpg;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Üç İsimli Kişiye Özel Kalpler Gümüş Kolye;Personalized Name Necklace Sterling Silver New Mom Bridesmaid Gift Jewelry for Women;54.9;148.89;93.98999999999998;25.154373;52.33562699999998;999.0;;;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1028008806/personalized-name-necklace-sterling?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Three+Names+Personalized+Hearts+Sterling+Silver+Necklace&ref=sc_gallery-1-2&plkey=c3482b6182570ff6e7b2629b174ef731cfeeef4a%3A1028008806&pro=1;https://www.ciceksepeti.com/uc-isimli-kisiye-ozel-kalpler-gumus-kolye-kc520528;https://i.etsystatic.com/30066024/d/il/15ab58/3215932703/il_340x270.3215932703_i1zk.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc520528-1/M/uc-simli-kisiye-ozel-kalpler-gumus-kolye-kc520528-1-3de7d34258ce47e9985e4d959bb9cf27.jpg
