name_cs;name_et;price_cs;price_et;brut_kar;all_et_fees_tl;net_kar;com_count_cs;com_count_et;rating_et;note_cs;link_et;link_cs;image_et;image_cs
Kişiye Özel Mekanizmalı Deri Cüzdan;Leather wallet, minimalist, genuine leather, simple wallet, personalized gift, for men, handmade, sturdy, HAEUTE-MONO;29.9;719.92;690.02;102.64314399999999;570.876856;999.0;80.0;4.96;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/743176204/leather-wallet-minimalist-genuine?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-1&plkey=0959b7c1f462815083553ac4d34ba6a7007e2589%3A743176204&frs=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/10355322/d/il/e8ca1f/2101324056/il_340x270.2101324056_t24t.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Personalized Leather Wallet, Handmade Wallet for Men Women, Personalized Billfold for Boyfriend, Wallet for Cards, Gift for Dad and for Him;29.9;247.91;218.01;38.591387;162.918613;999.0;44.0;4.95;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/966762707/personalized-leather-wallet-handmade?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-2&plkey=5bf1ae16d392106280aa5570201e0134e193d527%3A966762707&pro=1&frs=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/26717337/c/2116/1682/533/45/il/879ec6/3021499037/il_340x270.3021499037_9eac.jpg;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Personalised Mens Leather Wallet, Genuine Soft Black Leather Wallet, Personalized Gift for Boyfriend, Husband, Dad, Anniversary Gift for Him;29.9;146.32;116.41999999999999;24.805623999999998;75.114376;999.0;195.0;4.93;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1006687553/personalised-mens-leather-wallet-genuine?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-3&plkey=7489ac4272cdd00d92ebfbbc24455ea08dd3adc9%3A1006687553;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/29233561/d/il/5cc60d/3252453523/il_340x270.3252453523_ml8c.jpg?version=1;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Üç İsimli Kişiye Özel Kalpler Gümüş Kolye;Mom Necklace Kids Name Personalized - Mother Necklace with Children Names Sterling Silver - Custom Birthday Gift - Ulala SN0225;54.9;422.48;367.58000000000004;62.280536;288.79946400000006;999.0;1285.0;4.88;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/265368847/mom-necklace-kids-name-personalized?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Three+Names+Personalized+Hearts+Sterling+Silver+Necklace&ref=sc_gallery-1-1&plkey=41f127bba85a6ecd46d45c6c5ec9dfa8ea84a85e%3A265368847&pro=1;https://www.ciceksepeti.com/uc-isimli-kisiye-ozel-kalpler-gumus-kolye-kc520528;https://i.etsystatic.com/11945359/c/1468/1162/299/593/il/22e270/3223139017/il_340x270.3223139017_1u9c.jpg;https://cdn03.ciceksepeti.com/cicek/kc520528-1/M/uc-simli-kisiye-ozel-kalpler-gumus-kolye-kc520528-1-3de7d34258ce47e9985e4d959bb9cf27.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Personalized Business Card Holder, Leather Bifold Credit Card Case, Customized Business Card Holders with Embossed Initials, Slim Card Case;29.9;158.98;129.07999999999998;26.523585999999998;86.05641399999999;999.0;3658.0;4.72;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/760485694/personalized-business-card-holder?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-4&plkey=abf5a0658808e17532a92966cd6aeac1b65a14fa%3A760485694&pro=1&frs=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/21404101/c/1717/1364/0/132/il/29d35e/2217728759/il_340x270.2217728759_3qj1.jpg;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Renna Genuine Leather Mechanical Wallet with RFID Protection Brown Mechanism Leather Card Holder Wallet Handmade, Personalization possible;29.9;402.84;372.94;59.615387999999996;296.824612;999.0;436.0;4.76;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/734968234/renna-genuine-leather-mechanical-wallet?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sr_gallery-1-1&organic_search_click=1&pro=1&frs=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/16665319/c/1538/1222/92/197/il/be9f0c/2983033479/il_340x270.2983033479_pp12.jpg;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Personalised flat man with engraving of the initials in the gift set Black;19.99;312.49;292.5;47.354893;228.645107;999.0;504.0;4.77;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/889943135/personalised-flat-man-with-engraving-of?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-1&plkey=9a84cb07ce8af5ec5c66a39738b099f4f33b008b%3A889943135&bes=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/18424719/d/il/8de3e5/2934246881/il_340x270.2934246881_hxic.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Üç İsimli Kişiye Özel Kalpler Gümüş Kolye;Personalized Family Tree Name Necklace,Tree Of Life Necklace in Sterling Silver,Multiple Names Necklace,Necklace For Women,Personalized Gift;54.9;158.39;103.48999999999998;26.443522999999995;60.54647699999998;999.0;;;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1037851822/personalized-family-tree-name?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Three+Names+Personalized+Hearts+Sterling+Silver+Necklace&ref=sc_gallery-1-2&plkey=31ff3fd81b5bfd6a1b0c2d9f702dd9733b136dca%3A1037851822&pro=1&frs=1;https://www.ciceksepeti.com/uc-isimli-kisiye-ozel-kalpler-gumus-kolye-kc520528;https://i.etsystatic.com/29605145/c/1000/794/0/205/il/633892/3205799070/il_340x270.3205799070_cmm0.jpg;https://cdn03.ciceksepeti.com/cicek/kc520528-1/M/uc-simli-kisiye-ozel-kalpler-gumus-kolye-kc520528-1-3de7d34258ce47e9985e4d959bb9cf27.jpg
Üç İsimli Kişiye Özel Kalpler Gümüş Kolye;925 Sterling Silver 3D Bar Engraved Personalized Bar Name Necklace Custom Made Any Name Pendant Necklace Bridesmaid Gift;54.9;315.22;260.32000000000005;47.72535400000001;196.09464600000004;999.0;5497.0;4.76;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1049288767/925-sterling-silver-3d-bar-engraved?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Three+Names+Personalized+Hearts+Sterling+Silver+Necklace&ref=sc_gallery-1-3&plkey=e6ea41bcf90df5d1837f0b1bc45f6fe35a2ecb85%3A1049288767&frs=1;https://www.ciceksepeti.com/uc-isimli-kisiye-ozel-kalpler-gumus-kolye-kc520528;https://i.etsystatic.com/7795222/d/il/f8a761/3244037593/il_340x270.3244037593_8r76.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc520528-1/M/uc-simli-kisiye-ozel-kalpler-gumus-kolye-kc520528-1-3de7d34258ce47e9985e4d959bb9cf27.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Renna Genuine Leather Mechanical Wallet with RFID Protection Mechanism Leather Card Holder Wallet Handmade (Personalization possible);29.9;402.84;372.94;59.615387999999996;296.824612;999.0;436.0;4.76;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/882822310/renna-genuine-leather-mechanical-wallet?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sr_gallery-1-2&organic_search_click=1&pro=1&frs=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/16665319/d/il/0bf81a/2751665147/il_340x270.2751665147_pnxs.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
